# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	27102
#@/user_id	1f16c4d4-a41a-4522-b9ab-3db93a4af922
beng bu zhu 	蚌埠豬	c=1 d=8.5907e-08 t=27102
bi 	必	c=0 d=2.89631e-12 t=27102
bi 	比	c=25 d=0.472367 t=27102
bi 	畢	c=0 d=1.01809e-06 t=27102
bi bu liao ye 	畢不了業	c=1 d=1.02319e-05 t=27102
bi da 	比大	c=0 d=1.27541e-10 t=27102
bi da shi 	比大師	c=1 d=1.2818e-09 t=27102
bi ding 	必定	c=1 d=6.60902e-11 t=27102
bi er gai ci 	比爾蓋茨	c=1 d=6.8764e-07 t=27102
bi he 	閉合	c=1 d=0.000452827 t=27102
bi hu 	逼乎	c=1 d=1.47036e-06 t=27102
bi hui 	必會	c=0 d=2.89631e-12 t=27102
bi ji 	筆記	c=5 d=6.55685e-06 t=27102
bi ji ben 	筆記本	c=1 d=0.0432828 t=27102
bi jiang 	必將	c=1 d=0.0407622 t=27102
bi jiao 	比較	c=8 d=0.795351 t=27102
bi jiao gao 	比較高	c=2 d=0.16696 t=27102
bi jiao hao 	比較好	c=2 d=2.10788e-08 t=27102
bi jin 	逼近	c=0 d=6.84677e-16 t=27102
bi jing 	畢竟	c=5 d=0.555374 t=27102
bi kai che 	比開車	c=1 d=0.0057417 t=27102
bi mian 	避免	c=6 d=0.38868 t=27102
bi ni 	比你	c=2 d=0.1764 t=27102
bi ran 	必然	c=1 d=0.00394621 t=27102
bi ru 	比如	c=20 d=0.25819 t=27102
bi ru dou shi 	比如都是	c=1 d=2.02137e-15 t=27102
bi shua 	筆刷	c=1 d=0.494109 t=27102
bi tian 	必填	c=2 d=0.00167101 t=27102
bi ting 	逼停	c=1 d=2.0615e-11 t=27102
bi wo 	比我	c=2 d=0.247833 t=27102
bi xin 	比心	c=1 d=0.14808 t=27102
bi xu 	必須	c=12 d=0.293758 t=27102
bi xu pin 	必需品	c=1 d=7.12134e-07 t=27102
bi ya di 	比亞迪	c=0 d=6.60565e-06 t=27102
bi ya di qin 	比亞迪秦	c=1 d=6.63876e-05 t=27102
bi yao 	必要	c=2 d=0.00116722 t=27102
bi ye 	畢業	c=1 d=1.38116e-05 t=27102
bi yi 	裨益	c=1 d=8.08053e-23 t=27102
bi yin 	鼻音	c=3 d=0.0288451 t=27102
bi yuan 	閉源	c=1 d=1.68289e-06 t=27102
bi zhi bi hui 	必知必會	c=5 d=7.30539e-10 t=27102
bian 	變	c=3 d=1.13442 t=27102
bian 	邊	c=2 d=0.856415 t=27102
bian cheng 	編程	c=7 d=0.00455029 t=27102
bian cheng 	變成	c=3 d=0.045502 t=27102
bian de 	編的	c=1 d=6.03178e-24 t=27102
bian de 	變的	c=1 d=2.31235e-09 t=27102
bian gao 	遍告	c=1 d=0.280832 t=27102
bian geng 	變更	c=1 d=5.18454e-08 t=27102
bian hao 	變好	c=2 d=0.00687406 t=27102
bian hua 	變化	c=2 d=0.121238 t=27102
bian hua shi 	變化時	c=1 d=0.0430669 t=27102
bian ji 	編輯	c=4 d=0.903266 t=27102
bian ji qi 	編輯器	c=1 d=3.33325e-17 t=27102
bian ju 	編劇	c=1 d=0.198891 t=27102
bian ke yi 	便可以	c=1 d=2.28896e-07 t=27102
bian le 	變了	c=1 d=0.090718 t=27102
bian li 	遍歷	c=1 d=3.94688e-05 t=27102
bian liang 	變量	c=21 d=0.868076 t=27102
bian ma 	編碼	c=1 d=6.63989e-07 t=27102
bian mi 	便秘	c=1 d=6.80081e-24 t=27102
bian xiao 	變小	c=0 d=0.0117068 t=27102
bian xiao ne 	變小呢	c=1 d=0.117655 t=27102
biang 	𰻞	c=1 d=0.822835 t=27102
biang biang 	𰻞𰻞	c=2 d=1.7872 t=27102
biang biang mian 	𰻞𰻞麪	c=2 d=1.69182 t=27102
biao 	標	c=1 d=1.02584e-06 t=27102
biao 	表	c=2 d=0.00285124 t=27102
biao bai 	表白	c=3 d=0.00484407 t=27102
biao da 	表達	c=3 d=1.07101e-05 t=27102
biao da shi 	表達式	c=15 d=0.0477924 t=27102
biao dian 	標點	c=1 d=0.160414 t=27102
biao dian fu hao 	標點符號	c=3 d=0.285082 t=27102
biao ge 	表哥	c=1 d=3.60718e-05 t=27102
biao ge 	表格	c=1 d=0.0439369 t=27102
biao ji 	標記	c=1 d=0.00506703 t=27102
biao qian 	標籤	c=10 d=0.138153 t=27102
biao qing 	表情	c=5 d=0.210136 t=27102
biao qing bao 	表情包	c=3 d=0.0190631 t=27102
biao sheng 	飆升	c=1 d=0.00177315 t=27102
biao shi 	表示	c=6 d=0.0371646 t=27102
biao shu 	表叔	c=1 d=3.64343e-05 t=27102
biao ti 	標題	c=4 d=0.00106477 t=27102
biao xian 	表現	c=1 d=0.00327971 t=27102
biao zhi 	標識	c=1 d=4.37476e-10 t=27102
biao zhi 	表質	c=1 d=4.35294e-10 t=27102
biao zhu 	標注	c=1 d=0.440432 t=27102
biao zhun 	標準	c=1 d=0.000169951 t=27102
bie 	別	c=13 d=0.473084 t=27102
bie chao 	別吵	c=1 d=1.34729e-07 t=27102
bie chi 	別喫	c=1 d=4.48932e-20 t=27102
bie de 	別的	c=1 d=5.23575e-07 t=27102
bie gao 	別搞	c=1 d=2.42794e-24 t=27102
bie luan 	別亂	c=1 d=0.000137073 t=27102
bie mai 	別買	c=2 d=1.4962e-05 t=27102
bie mao chong 	別冒充	c=1 d=3.32238e-08 t=27102
bie niu 	彆扭	c=1 d=0.0267827 t=27102
bie ren 	別人	c=1 d=4.19237e-09 t=27102
bie shua 	別刷	c=1 d=2.79042e-14 t=27102
bie shuo le 	別說了	c=1 d=2.20452e-06 t=27102
bie wan shou ji 	別彎手機	c=1 d=2.95381e-07 t=27102
bie wang ji 	別忘記	c=1 d=0.000252273 t=27102
bie wen 	別問	c=1 d=0.00590129 t=27102
bie wen wo 	別問我	c=1 d=0.0593087 t=27102
bie xiang 	別想	c=2 d=0.119433 t=27102
bie yao 	別搖	c=1 d=0.000153011 t=27102
bie you 	別有	c=1 d=1.18652e-12 t=27102
bie zheng 	別整	c=1 d=0.00047367 t=27102
bing 	並	c=29 d=0.980707 t=27102
bing 	餅	c=1 d=0.110803 t=27102
bing ba 	並把	c=1 d=0.00302755 t=27102
bing bao 	冰雹	c=1 d=0.414783 t=27102
bing bu 	並不	c=1 d=0.0302704 t=27102
bing bu hui 	並不會	c=2 d=0.00582847 t=27102
bing bu jian rong 	並不兼容	c=1 d=0.304221 t=27102
bing bu shi 	並不是	c=4 d=0.0104174 t=27102
bing fa 	併發	c=19 d=0.151829 t=27102
bing fa 	兵法	c=1 d=1.57805e-14 t=27102
bing fa bian cheng 	併發編程	c=1 d=0.04573 t=27102
bing fa du 	並法度	c=1 d=0.000319102 t=27102
bing fa zu jian 	併發組件	c=1 d=0.108067 t=27102
bing fen 	冰粉	c=3 d=6.33558e-08 t=27102
bing feng 	冰峯	c=1 d=1.72966e-05 t=27102
bing guan li 	並管理	c=1 d=1.7649e-07 t=27102
bing ji 	並集	c=2 d=2.27578e-05 t=27102
bing jie ya 	並解壓	c=1 d=1.24092e-10 t=27102
bing mei you 	並沒有	c=5 d=0.532592 t=27102
bing qi lin 	冰淇淋	c=1 d=0.111917 t=27102
bing qie 	並且	c=10 d=1.3047 t=27102
bing shan yi jiao 	冰山一角	c=1 d=2.37372e-23 t=27102
bing shi yong 	並使用	c=1 d=9.09683e-05 t=27102
bing tu 	餅圖	c=3 d=2.10712e-21 t=27102
bing wu 	並無	c=2 d=3.93803e-08 t=27102
bing zai 	並在	c=1 d=0.169483 t=27102
bo fang 	播放	c=3 d=0.0142642 t=27102
bo fang qi 	播放器	c=2 d=2.62497e-22 t=27102
bo guang lin lin 	波光粼粼	c=1 d=0.557106 t=27102
bo ke 	博客	c=10 d=0.565988 t=27102
bo wu guan 	博物館	c=2 d=8.32158e-06 t=27102
bo zi 	脖子	c=0 d=1.29759e-07 t=27102
bu 	不	c=27 d=0.412705 t=27102
bu 	步	c=5 d=0.177284 t=27102
bu 	補	c=0 d=7.12013e-06 t=27102
bu 	部	c=3 d=2.01228e-06 t=27102
bu ai 	不愛	c=1 d=5.19619e-05 t=27102
bu bi 	不比	c=2 d=0.431723 t=27102
bu bian 	不變	c=1 d=1.27211e-08 t=27102
bu biao 	不表	c=1 d=9.47291e-11 t=27102
bu bu 	步步	c=0 d=6.84677e-16 t=27102
bu bu bi jin 	步步逼近	c=1 d=6.88109e-15 t=27102
bu bu bu 	不不不	c=1 d=3.46633e-07 t=27102
bu cha 	不差	c=2 d=0.00163682 t=27102
bu cha dian 	不插電	c=1 d=0.000359786 t=27102
bu chang yong 	不常用	c=1 d=4.76287e-10 t=27102
bu cheng 	不成	c=0 d=3.09243e-12 t=27102
bu cheng gong 	不成功	c=1 d=0.128735 t=27102
bu chi 	不喫	c=2 d=0.00631391 t=27102
bu chong 	補充	c=1 d=4.32519e-23 t=27102
bu chong tu 	不衝突	c=1 d=2.85173e-05 t=27102
bu chu 	不出	c=3 d=0.198891 t=27102
bu chu lai 	不出來	c=1 d=0.00147367 t=27102
bu chui 	不吹	c=1 d=0.0071546 t=27102
bu ci dao 	不磁道	c=1 d=1.7455e-24 t=27102
bu cun zai 	不存在	c=2 d=0.394554 t=27102
bu cuo 	不錯	c=10 d=0.00153457 t=27102
bu cuo le 	不錯了	c=1 d=0.202909 t=27102
bu da 	不大	c=2 d=0.410656 t=27102
bu da bian 	不搭邊	c=1 d=7.23019e-09 t=27102
bu da le 	不大了	c=1 d=0.102797 t=27102
bu dai 	不帶	c=2 d=0.895834 t=27102
bu dai 	不戴	c=2 d=1.32605e-13 t=27102
bu dao 	不到	c=5 d=0.06408 t=27102
bu de 	不得	c=0 d=5.26558e-15 t=27102
bu de bu shuo 	不得不說	c=2 d=0.142274 t=27102
bu de le 	不得了	c=1 d=5.29197e-14 t=27102
bu dei kao 	不得靠	c=1 d=8.3167e-09 t=27102
bu diao 	不掉	c=0 d=0.000102302 t=27102
bu ding 	補丁	c=10 d=1.04451 t=27102
bu dong 	不動	c=4 d=1.67074e-09 t=27102
bu dong 	不懂	c=3 d=0.304221 t=27102
bu dou shi 	不都是	c=1 d=4.11005e-11 t=27102
bu duan 	不斷	c=1 d=6.64781e-21 t=27102
bu dui 	不對	c=7 d=0.352405 t=27102
bu duo 	不多	c=3 d=0.0011027 t=27102
bu duo jian 	不多見	c=1 d=2.47404e-10 t=27102
bu duo shuo 	不多說	c=1 d=3.91027e-13 t=27102
bu fan gan 	不反感	c=1 d=0.00123091 t=27102
bu fang 	不妨	c=1 d=6.6079e-09 t=27102
bu fen 	不分	c=4 d=0.0595274 t=27102
bu fen 	部分	c=20 d=0.524663 t=27102
bu fu 	不服	c=1 d=4.41872e-10 t=27102
bu gan jing 	不乾淨	c=1 d=0.00115923 t=27102
bu gao 	不搞	c=0 d=1.02371e-12 t=27102
bu gao 	不高	c=2 d=3.91906e-10 t=27102
bu gao le 	不搞了	c=1 d=1.02884e-11 t=27102
bu gen 	不跟	c=0 d=7.91109e-10 t=27102
bu gen ni 	不跟你	c=1 d=7.95075e-09 t=27102
bu gou 	不勾	c=1 d=1.77895e-12 t=27102
bu gou 	不夠	c=6 d=0.000810358 t=27102
bu guai 	不怪	c=1 d=0.0982736 t=27102
bu guan 	不管	c=5 d=0.445244 t=27102
bu guan le 	不管了	c=1 d=9.22144e-18 t=27102
bu guan shi 	不管是	c=1 d=5.23753e-10 t=27102
bu guang jie 	不逛街	c=1 d=7.58643e-16 t=27102
bu guo 	不過	c=54 d=0.658068 t=27102
bu guo lai 	不過來	c=0 d=0.019593 t=27102
bu hai yao 	不還要	c=1 d=0.0042963 t=27102
bu hao 	不好	c=7 d=0.0104627 t=27102
bu hao kan 	不好看	c=2 d=0.245367 t=27102
bu hao nong 	不好弄	c=1 d=0.00193045 t=27102
bu hao shi 	不好使	c=2 d=8.93978e-06 t=27102
bu hao wan 	不好玩	c=1 d=4.00721e-07 t=27102
bu hao yong 	不好用	c=5 d=0.0193512 t=27102
bu hen 	不很	c=1 d=2.27715e-05 t=27102
bu hui 	不會	c=14 d=0.00789051 t=27102
bu hui fu 	不回覆	c=3 d=0.00324708 t=27102
bu hui yong 	不會用	c=0 d=1.58488e-07 t=27102
bu hui zai 	不會再	c=0 d=2.27793e-10 t=27102
bu hui zai bian 	不會再變	c=1 d=2.28935e-09 t=27102
bu huo 	捕獲	c=3 d=0.0136458 t=27102
bu ji de 	不記得	c=1 d=0.0365162 t=27102
bu jian 	不见	c=0 d=6.52526e-09 t=27102
bu jian dei 	不见得	c=1 d=6.55797e-08 t=27102
bu jian le 	不見了	c=1 d=4.10935e-09 t=27102
bu jian rong 	不兼容	c=1 d=0.315058 t=27102
bu jian yi 	不建議	c=5 d=0.011109 t=27102
bu jie yi 	不介意	c=2 d=1.33141e-06 t=27102
bu jin 	不僅	c=1 d=5.43628e-07 t=27102
bu jin 	不進	c=0 d=2.80927e-06 t=27102
bu jin cou 	不緊湊	c=1 d=0.189191 t=27102
bu jin jin 	不僅僅	c=1 d=0.628135 t=27102
bu jiu 	不久	c=1 d=0.0294518 t=27102
bu jiu 	不就	c=7 d=0.463018 t=27102
bu jiu qian 	不久前	c=1 d=1.28023e-24 t=27102
bu jiu shi 	不就是	c=2 d=0.161218 t=27102
bu jiu wan le 	不就完了	c=1 d=3.94755e-07 t=27102
bu jiu xing 	不就行	c=1 d=5.57485e-09 t=27102
bu jiu you yong 	不就有用	c=1 d=0.0217096 t=27102
bu ju bei 	不具備	c=1 d=0.0466538 t=27102
bu ka 	不卡	c=2 d=0.0107269 t=27102
bu kai 	不開	c=1 d=0.00103063 t=27102
